adduser	3.118
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b2
libruby2.7:amd64	2.7.4-1+deb11u1
libsasl2-2:amd64	2.1.27+dfsg-2.1+deb11u1
libsasl2-modules-db:amd64	2.1.27+dfsg-2.1+deb11u1
libseccomp2:amd64	2.5.1-1+deb11u1
libselinux1:amd64	3.1-3
libsemanage-common	3.1-1
libsemanage1:amd64	3.1-1+b2
libsepol1:amd64	3.1-1
libsmartcols1:amd64	2.36.1-8+deb11u1
libsqlite3-0:amd64	3.34.1-3
libss2:amd64	1.46.2-2
libssh2-1:amd64	1.9.0-2
libssl-dev:amd64	1.1.1k-1+deb11u1
libssl1.1:amd64	1.1.1k-1+deb11u1
libstdc++6:amd64	10.2.1-6
libsystemd0:amd64	250.3-2~bpo11+1
libtasn1-6:amd64	4.16.0-2
libtinfo6:amd64	6.2+20201114-2
libtirpc-common	1.3.1-1
libtirpc-dev:amd64	1.3.1-1
libtirpc3:amd64	1.3.1-1
libudev1:amd64	247.3-6
libunistring2:amd64	0.9.10-4
liburing1:amd64	0.7-3
libuuid1:amd64	2.36.1-8+deb11u1
libwrap0:amd64	7.6.q-31
libxtables12:amd64	1.8.7-1
libxxhash0:amd64	0.8.0-2
libyaml-0-2:amd64	0.2.2-1
libzstd1:amd64	1.4.8+dfsg-2.1
linux-base	4.6
linux-image-5.10.0-11-cloud-amd64	5.10.92-2
linux-image-cloud-amd64	5.10.92-2
linux-libc-dev:amd64	5.10.92-2
locales	2.31-13+deb11u2
login	1:4.8.1-1
logrotate	3.18.0-2
logsave	1.46.2-2
lsb-base	11.1.0
lsb-release	11.1.0
mawk	1.3.4.20200120-2
media-types	4.0.0
mokutil	0.3.0+1538710437.fb6250f-1+b1
mount	2.36.1-8+deb11u1
ncurses-base	6.2+20201114-2
ncurses-bin	6.2+20201114-2
net-tools	1.60+git20181103.0eebece-1
netbase	6.3
nftables	0.9.8-3.1
openssh-client	1:8.4p1-5
openssh-server	1:8.4p1-5
openssh-sftp-server	1:8.4p1-5
openssl	1.1.1k-1+deb11u1
passwd	1:4.8.1-1
pci.ids	0.0~2021.02.08-1
pciutils	1:3.7.0-5
perl-base	5.32.1-4+deb11u2
pinentry-curses	1.1.0-4
procps	2:3.3.17-5
psmisc	23.4-2
python-apt-common	2.2.1
python3	3.9.2-3
python3-apt	2.2.1
python3-attr	20.3.0-1
python3-blinker	1.4+dfsg1-0.3
python3-certifi	2020.6.20-1
python3-cffi-backend:amd64	1.14.5-1
python3-chardet	4.0.0-1
python3-configobj	5.0.6-4
python3-cryptography	3.3.2-1
python3-distutils	3.9.2-1
python3-idna	2.10-1
python3-importlib-metadata	1.6.0-2
python3-jinja2	2.11.3-1
python3-json-pointer	2.0-2
python3-jsonpatch	1.25-3
python3-jsonschema	3.2.0-3
python3-jwt	1.7.1-2
python3-lib2to3	3.9.2-1
python3-markupsafe	1.1.1-1+b3
python3-minimal	3.9.2-3
python3-more-itertools	4.2.0-3
python3-oauthlib	3.1.0-2
python3-pkg-resources	52.0.0-4
python3-pyrsistent:amd64	0.15.5-1+b3
python3-requests	2.25.1+dfsg-2
python3-setuptools	52.0.0-4
python3-six	1.16.0-2
python3-urllib3	1.26.5-1~exp1
python3-yaml	5.3.1-5
python3-zipp	1.0.0-3
python3.9	3.9.2-1
python3.9-minimal	3.9.2-1
qemu-utils	1:5.2+dfsg-11+deb11u1
rake	13.0.3-1
readline-common	8.1-1
ruby	1:2.7+2
ruby-minitest	5.13.0-1
ruby-net-telnet	0.1.1-2
ruby-power-assert	1.1.7-2
ruby-rubygems	3.2.5-2
ruby-test-unit	3.3.9-1
ruby-xmlrpc	0.3.0-2
ruby2.7	2.7.4-1+deb11u1
rubygems-integration	1.18
runit-helper	2.10.3
sed	4.7-1
sensible-utils	0.0.14
shim-helpers-amd64-signed	1+15.4+7
shim-signed:amd64	1.38+15.4-7
shim-signed-common	1.38+15.4-7
shim-unsigned	15.4-7
sudo	1.9.5p2-3
systemd	250.3-2~bpo11+1
systemd-sysv	247.3-6
sysvinit-utils	2.96-7
tar	1.34+dfsg-1
tzdata	2021a-1+deb11u2
ucf	3.0043
udev	247.3-6
util-linux	2.36.1-8+deb11u1
vim	2:8.2.2434-3+deb11u1
vim-common	2:8.2.2434-3+deb11u1
vim-runtime	2:8.2.2434-3+deb11u1
wget	1.21-1+deb11u1
xxd	2:8.2.2434-3+deb11u1
xz-utils	5.2.5-2
zlib1g:amd64	1:1.2.11.dfsg-2
zlib1g-dev:amd64	1:1.2.11.dfsg-2
